B	2.05	2.31
A	0.97	0.80
B	2.99	2.08
B	2.76	2.81
A	0.15	0.13
A	0.26	0.42
B	2.19	2.54
B	2.01	2.02
B	2.92	2.83
B	2.88	2.06
A	0.69	0.71
A	0.83	0.06
B	2.37	2.22
A	0.78	0.39
A	0.08	0.52
B	2.16	2.23
A	0.72	0.49
B	2.18	2.56
B	2.86	2.99
A	0.48	0.43
A	0.78	0.52
A	0.46	0.75
A	0.31	0.74
A	0.65	0.83
B	2.58	2.50
B	2.64	2.15
B	2.28	2.63
B	2.97	2.76
A	0.19	0.33
B	2.54	2.84
A	0.01	0.90
A	0.76	0.57
B	2.06	2.58
A	0.96	0.27
B	2.88	2.95
A	0.68	0.95
A	0.81	0.52
B	2.44	2.49
B	2.29	2.61
B	2.85	2.62
A	0.84	0.63
B	2.75	2.14
A	0.82	0.43
B	2.14	2.01
B	2.02	2.16
A	0.42	0.87
B	2.86	2.02
B	2.12	2.41
A	0.40	0.59
A	0.50	0.75
A	0.46	0.50
A	0.85	0.58
B	2.23	2.92
A	0.70	0.10
A	0.10	0.54
B	2.02	2.89
B	2.46	2.69
A	0.75	0.55
A	0.12	0.71
B	2.25	2.84
B	2.80	2.15
A	0.35	0.96
B	2.82	2.95
B	2.69	2.63
A	0.63	0.62
A	0.41	0.06
B	2.52	2.82
B	2.74	2.15
B	2.13	2.53
B	2.73	2.74
A	0.01	0.48
A	0.14	0.30
A	0.27	0.23
A	0.32	0.86
A	0.58	0.47
B	2.52	2.42
B	2.25	2.36
A	0.92	0.14
B	2.04	2.01
A	0.37	0.82
A	0.74	0.93
B	2.86	2.30
B	2.95	2.16
A	0.13	0.94
B	2.34	2.18
B	2.80	2.77
A	0.04	0.41
B	2.50	2.41
B	2.50	2.39
A	0.41	0.14
B	2.05	2.30
B	2.62	2.92
B	2.73	2.40
A	0.11	0.95
B	2.85	2.89
A	0.03	0.07
A	0.09	0.54
B	2.19	2.14
A	0.60	0.95
B	2.48	2.96
