D	2.12	2.40
B	0.12	2.19
A	0.32	0.05
B	0.14	2.04
D	2.61	2.35
C	2.47	0.30
C	2.61	0.20
B	0.53	2.79
D	2.93	2.37
D	2.24	2.53
C	2.81	0.59
C	2.29	0.76
B	0.06	2.10
B	0.42	2.92
D	2.73	2.17
C	2.77	0.83
A	0.27	0.06
B	0.32	2.40
C	2.01	0.00
C	2.37	0.88
C	2.94	0.74
C	2.02	0.79
A	0.03	0.28
A	0.21	0.91
B	0.20	2.87
C	2.92	0.07
B	0.71	2.78
A	0.00	0.32
A	0.99	0.07
C	2.44	0.20
C	2.47	0.12
C	2.63	0.37
C	2.61	0.18
A	0.46	0.63
A	0.48	0.45
A	0.39	0.62
A	0.08	0.18
B	0.25	2.93
C	2.33	0.63
C	2.36	0.53
A	0.12	0.39
D	2.32	2.29
C	2.62	0.37
B	0.78	2.03
D	2.05	2.54
A	0.25	0.85
B	0.69	2.70
C	2.45	0.01
B	0.25	2.44
B	0.16	2.27
C	2.81	0.24
A	0.26	0.35
B	0.70	2.73
B	0.78	2.39
B	0.46	2.30
C	2.62	0.73
A	0.69	0.10
B	0.83	2.96
A	0.88	0.48
B	0.16	2.69
A	0.09	0.36
C	2.07	0.36
B	0.49	2.43
C	2.69	0.76
B	0.70	2.82
B	0.49	2.83
B	0.31	3.00
A	0.32	0.53
C	2.06	0.53
B	0.34	2.61
B	0.22	2.00
C	2.22	0.23
A	0.40	0.74
B	0.45	2.65
B	0.84	2.54
D	2.78	2.93
D	2.17	2.32
C	2.10	0.61
C	2.91	0.64
A	0.20	0.51
A	0.36	0.92
B	0.85	2.09
C	2.72	0.39
A	0.54	0.16
B	0.08	2.28
A	0.68	0.08
D	2.73	2.24
C	2.27	0.78
A	0.39	0.45
C	2.60	0.38
A	0.61	0.90
D	3.00	2.97
D	2.55	2.92
D	2.46	2.45
C	2.07	0.55
B	0.07	2.55
A	0.88	0.85
C	2.99	0.15
B	0.89	2.71
A	0.40	0.14
B	0.88	2.94
A	0.96	0.27
A	0.84	0.13
C	2.17	0.95
C	2.02	0.21
C	2.71	0.67
D	2.72	2.21
A	0.55	0.70
B	0.03	2.34
A	0.13	0.40
B	0.58	2.95
A	0.86	0.41
D	2.34	2.15
C	2.81	0.33
B	0.80	2.95
C	2.69	0.15
C	2.96	0.46
B	0.44	2.05
B	0.80	2.39
C	2.13	0.33
C	2.31	0.08
